asin,sku,date,sales,spend,clicks,impressions,orders,conversion_rate,acos,roas,ctr,cpc,conversions,same_sku_sales,same_sku_orders,daily_budget,total_budget,max_spend,avg_spend,total_sales,total_acos,total_units,organic_sales,organic_orders,page_views,ad_sales_perc,tos_is,aov,sessions,buy_box_percentage,browser_sessions,mobile_app_sessions
B0FGVLV8LN,"""None""","""2026-03-10""",0,0,0,24,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-11""",0,0,0,10,0,0,,,0,0,0,0,0,,,,,760.95,0,1,760.95,1,4,0,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-12""",0,0,0,8,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-13""",0,0,0,14,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-14""",0,0,0,47,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-15""",0,7.17,2,162,0,0,,0,0.0123,3.58,0,0,0,,,,,0,,0,0,0,5,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-16""",0,3.89,1,218,0,0,,0,0.0046,3.89,0,0,0,,,,,0,,0,0,0,3,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-17""",0,3.63,1,399,0,0,,0,0.0025,3.63,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-18""",0,0,0,63,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,10,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-19""",0,4.75,1,169,0,0,,0,0.0059,4.75,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-20""",0,0,0,73,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-23""",0,0,0,30,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-24""",0,0,0,187,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-25""",0,5.73,1,69,0,0,,0,0.0145,5.73,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-26""",0,0,0,192,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-27""",0,0,0,62,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-28""",0,0,0,15,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,3,,,,0,,0,0
B0FGVLV8LN,"""None""","""2026-03-29""",0,0,0,13,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
